company_number,company_name
05704254,CARILLION (ASPIRE SERVICES) LIMITED
05704064,CARILLION (ASPIRE SERVICES) HOLDINGS LIMITED
05704135,CARILLION (ASPIRE CONSTRUCTION) LIMITED
05704083,CARILLION (ASPIRE CONSTRUCTION) HOLDINGS LIMITED
01521006,CARILLION UTILITY SERVICES GROUP LIMITED
05704172,CARILLION (ASPIRE SERVICES) HOLDINGS NO.2 LIMITED
OC394707,SIGLION INVESTMENTS LLP
05501004,PME PENSION TRUSTEE (DC) LIMITED
04364773,ACM HEALTH SOLUTIONS LIMITED
09598377,PSBP MIDLANDS LIMITED
00775010,THE CARILLION CONSTRUCTION COMPANY (EAST AFRICA) LIMITED
01417540,CARILLION PROJECT INVESTMENTS LIMITED
04556471,ASPIRE DEFENCE SERVICES LIMITED
06607841,CULTURAL COMMUNITY SOLUTIONS LIMITED
03679838,CARILLION INTEGRATED SERVICES LIMITED
04448876,EAGA ENERGY SOLUTIONS LIMITED
14185594,SALBOY CENTRAL COMMERCIAL LIMITED
15601092,VIADUX ESTATE MANAGEMENT COMPANY LIMITED
02684154,CARILLION SERVICES 2006 LIMITED
06404734,AFFINITY LIVING EMBANKMENT WEST LIMITED
09961994,CARILLION PRIVATE FINANCE (EDUCATION) 2016 LIMITED
05704108,CARILLION (ASPIRE CONSTRUCTION) HOLDINGS  NO.2 LIMITED
08884783,CARILLION POWERLINES LIMITED
00156617,CARILLION CONSTRUCTION (CONTRACTS) LIMITED
02990586,AVERY HILL DEVELOPMENTS HOLDINGS LIMITED
00551186,CARILLION (SINGAPORE) LIMITED
00309997,STEPHENSON MAINTENANCE LIMITED
03105686,CARILLION GB LIMITED
08684467,CARILLION SOLAR 1 LIMITED
00537677,CARILLION FLEET MANAGEMENT LIMITED
02840336,EVERPRIME LIMITED
10660272,VAUX MANAGEMENT COMPANY LIMITED
07017267,INSPIREDSPACES ROCHDALE LIMITED
06506298,INSPIREDSPACES NOTTINGHAM (PSP1) LIMITED
06820088,CLINICENTA (HERTFORDSHIRE) LIMITED
04996458,CARILLION HEATING SERVICES LIMITED
09822818,THE HOSPITAL COMPANY (SANDWELL) LIMITED
06404738,AFFINITY LIVING EMBANKMENT WEST DEVELOPMENTS LIMITED
